"#Countries"	"Country with most calls"	"#Cities"	"City with most calls"
"FileConverter"	25	"Germany"	88	"Berlin"
"FeatureFinderCentroided"	24	"Germany"	82	"Berlin"
"FileInfo"	23	"Germany"	60	"Freiburg"
"PeakPickerHiRes"	21	"Germany"	63	"Berlin"
"BaselineFilter"	21	"Germany"	57	""
"TextExporter"	19	"Germany"	59	"Freiburg"
"FileFilter"	19	"Germany"	52	"Freiburg"
"PeptideIndexer"	18	"Germany"	63	"Freiburg"
"PeakPickerWavelet"	18	"Germany"	42	"Mexico City"
"OMSSAAdapter"	18	"Germany"	47	"Göttingen"
"IDFileConverter"	18	"United States"	41	"Cambridge"
"IDMapper"	17	"Germany"	57	"Freiburg"
"IDFilter"	17	"Germany"	57	"Freiburg"
"FeatureLinkerUnlabeled"	17	"Netherlands"	28	""
"FalseDiscoveryRate"	17	"Germany"	54	"Freiburg"
"NoiseFilterGaussian"	16	"United States"	28	"Mountain View"
"MSGFPlusAdapter"	16	"Germany"	39	"Freiburg"
"FeatureFinderMetabo"	16	"Germany"	39	"Tübingen"
"XTandemAdapter"	15	"Germany"	44	"Freiburg"
"FeatureLinkerUnlabeledQT"	15	"Germany"	45	"Tübingen"
"FeatureFinderIsotopeWavelet"	15	"United States"	23	""
"ConvertTSVToTraML"	15	"Switzerland"	29	"Zurich"
"FileMerger"	14	"Germany"	26	"Freiburg"
"OpenSwathDecoyGenerator"	13	"Switzerland"	21	"Zurich"
"NoiseFilterSGolay"	13	"United States"	31	"Freiburg"
"MapAlignerPoseClustering"	13	"Germany"	33	""
"IDEvaluatorGUI"	13	"United States"	26	"Tübingen"
"OpenSwathWorkflow"	12	"United States"	23	"Zurich"
"OpenSwathChromatogramExtractor"	12	"United Kingdom"	20	"Manchester"
"IDPosteriorErrorProbability"	12	"Germany"	29	"Tübingen"
"IDMerger"	12	"Germany"	35	"Freiburg"
"DecoyDatabase"	12	"Germany"	38	"Turku"
"OpenSwathRTNormalizer"	11	"Japan"	17	""
"OpenSwathFileSplitter"	11	"Germany"	29	"Berlin"
"MassTraceExtractor"	11	"Germany"	22	"Tübingen"
"FeatureFinderMultiplex"	11	"Germany"	28	"Freiburg"
"ConsensusMapNormalizer"	11	"Germany"	21	"Tübingen"
"ConsensusID"	11	"Germany"	27	"Freiburg"
"OpenSwathFeatureXMLToTSV"	10	"United States"	17	"Manchester"
"OpenSwathAnalyzer"	10	"Japan"	16	"Manchester"
"MzTabExporter"	10	"Germany"	19	"Freiburg"
"GenericWrapper"	10	"Germany"	22	"Uppsala"
"TOPPBaseTest"	9	"Germany"	30	"Berlin"
"MascotAdapterOnline"	9	"Germany"	13	"Bochum"
"ConvertTraMLToTSV"	9	"Switzerland"	20	"Zurich"
"ProteinQuantifier"	8	"Germany"	28	"Freiburg"
"MapRTTransformer"	8	"Germany"	13	"Stockholm"
"MapAlignerIdentification"	8	"United States"	23	"Stockholm"
"HighResPrecursorMassCorrector"	8	"Germany"	17	"Berlin"
"FidoAdapter"	8	"Germany"	14	"Freiburg"
"Decharger"	8	"United States"	17	"Singapore"
"TOPPBaseTestParam"	7	"Germany"	20	"Berlin"
"QCCalculator"	7	"Germany"	19	"La Jolla"
"MyriMatchAdapter"	7	"Sweden"	12	"Uppsala"
"MSSimulator"	7	"Costa Rica"	13	"San José"
"InternalCalibration"	7	"United States"	13	"Ashburn"
"IDConflictResolver"	7	"Germany"	18	"Freiburg"
"FeatureLinkerLabeled"	7	"Germany"	11	"Bundoora"
"SpectraMerger"	6	"Germany"	14	"Freiburg"
"SpectraFilterWindowMower"	6	"Germany"	11	"Berlin"
"IDScoreSwitcher"	6	"Germany"	14	"Tübingen"
"FeatureFinderSuperHirn"	6	"Singapore"	8	"Singapore"
"FeatureFinderIdentification"	6	"United States"	11	"Stockholm"
"EICExtractor"	6	"Sweden"	9	"Stockholm"
"CompNovo"	6	"United States"	10	"Ashburn"
"AccurateMassSearch"	6	"France"	13	"Lyon"
"TMTAnalyzer"	5	"Singapore"	7	"Singapore"
"SeedListGenerator"	5	"United States"	7	"Burke"
"QCExtractor"	5	"Germany"	12	"Tübingen"
"ITRAQAnalyzer"	5	"Germany"	8	"Freiburg"
"IsobaricAnalyzer"	5	"Germany"	6	"Tübingen"
"ImageCreator"	5	"Germany"	11	"Tübingen"
"FeatureFinderMRM"	5	"United States"	9	"Ashburn"
"ExecutePipeline"	5	"Germany"	10	"Tübingen"
"Digestor"	5	"United States"	6	"Ann Arbor"
"CompNovoCID"	5	"United States"	7	"Ashburn"
"XMLValidator"	4	"Germany"	6	"Hadfield"
"TopPerc"	4	"United Kingdom"	4	"Oxford"
"SequenceCoverageCalculator"	4	"Sweden"	4	"Stockholm"
"PepNovoAdapter"	4	"Germany"	4	"Freiburg"
"OpenSwathAssayGenerator"	4	"United States"	8	"Ashburn"
"MRMMapper"	4	"United States"	6	"La Jolla"
"MassCalculator"	4	"Germany"	5	"Berlin"
"MapNormalizer"	4	"Germany"	9	"Ashburn"
"LuciphorAdapter"	4	"Germany"	5	"Tübingen"
"FeatureLinkerUnlabeledKD"	4	"Germany"	7	"Tübingen"
"DTAExtractor"	4	"United States"	11	"Ashburn"
"XFDR"	3	"Germany"	3	"Tübingen"
"TOPPBaseTestNOP"	3	"United States"	6	"Ashburn"
"TOPPBaseCmdParseSubsectionsTest"	3	"United States"	5	"Ashburn"
"SpectraFilterThresholdMower"	3	"Germany"	3	"Berlin"
"SpectraFilterSqrtMower"	3	"United States"	4	"Ashburn"
"SpectraFilterParentPeakMower"	3	"China"	3	"Beijing"
"SpectraFilterNormalizer"	3	"Germany"	3	"Berlin"
"SpectraFilterNLargest"	3	"Czechia"	4	"Brno"
"SimpleSearchEngine"	3	"Germany"	5	"Ashburn"
"Resampler"	3	"United States"	4	"Ashburn"
"ProteinResolver"	3	"Czechia"	4	"Brno"
"PhosphoScoring"	3	"Germany"	3	"Tübingen"
"PercolatorAdapter"	3	"Germany"	5	"Tübingen"
"PeakPickerIterative"	3	"United States"	7	"Ashburn"
"MzMLSplitter"	3	"United Kingdom"	6	"Oxford"
"MultiplexResolver"	3	"Germany"	7	"Freiburg"
"MetaProSIP"	3	"United States"	4	"Richland"
"MetaboliteSpectralMatcher"	3	"Chile"	5	"Santiago"
"MascotAdapter"	3	"United States"	6	"Ashburn"
"MapStatistics"	3	"United States"	6	"Ashburn"
"MapAlignerSpectrum"	3	"United States"	4	"Ashburn"
"InspectAdapter"	3	"United States"	6	"Ashburn"
"IDMassAccuracy"	3	"United States"	4	"Ashburn"
"FileStatistics"	3	"Germany"	3	"Berlin"
"TOFCalibration"	2	"United States"	5	"Ashburn"
"SpectraFilterIsotopePattern"	2	"Germany"	2	"Lisbon"
"SpectraFilterBernNorm"	2	"Mexico"	2	"Košice"
"SpecLibSearcher"	2	"Chile"	2	"Karlsruhe"
"RTPredict"	2	"United States"	6	"Berlin"
"RTModel"	2	"United States"	6	"Ashburn"
"QCShrinker"	2	"Germany"	3	"Tübingen"
"QCEmbedder"	2	"Germany"	6	"Tübingen"
"PTPredict"	2	"United States"	5	"Ashburn"
"PTModel"	2	"United States"	5	"Ashburn"
"PSMFeatureExtractor"	2	"Germany"	4	"Tübingen"
"ProteinInference"	2	"United States"	6	"Ashburn"
"PrecursorMassCorrector"	2	"United States"	3	"Ashburn"
"PrecursorIonSelector"	2	"United States"	5	"Ashburn"
"OptiQuant"	2	"Germany"	3	"Tübingen"
"OpenSwathMzMLFileCacher"	2	"United States"	5	"Ashburn"
"OpenProXLLF"	2	"Germany"	4	"Tübingen"
"OpenProXL"	2	"Germany"	3	"Tübingen"
"MRMTransitionGroupPicker"	2	"United States"	3	"Ashburn"
"INIUpdater"	2	"Germany"	6	"Berlin"
"IDSplitter"	2	"Germany"	4	"Tübingen"
"IDRTCalibration"	2	"United States"	5	"Ashburn"
"IDRipper"	2	"United States"	3	"Ashburn"
"FuzzyDiff"	2	"United States"	7	"Ashburn"
"DeNovoSymDiff"	2	"Switzerland"	2	"Zurich"
"CSIFingerID"	2	"Germany"	3	"Tübingen"
"COMETAdapter"	2	"Germany"	11	"Tübingen"
"BuildIndex"	2	"Germany"	4	"Berlin"
"AdditiveSeries"	2	"United States"	5	"Ashburn"
"xQuest"	1	"Germany"	7	"Tübingen"
"TICCalculator"	1	"United States"	3	"Ashburn"
"TargetedFileConverter"	1	"Switzerland"	1	"Zurich"
"SymDiffRTDenovo"	1	"Switzerland"	2	"Zurich"
"SymDiffDenovo"	1	"Switzerland"	4	"Zurich"
"SpectraSTSearchAdapter"	1	"Germany"	1	"Tübingen"
"SpectraSTCreateAdapter"	1	"Germany"	1	"Tübingen"
"SpectraFilterMarkerMower"	1	"China"	1	"Beijing"
"SpecLibCreator"	1	"Germany"	1	"Berlin"
"SiriusMzTabWriter"	1	"Germany"	2	"Heilbronn"
"SiriusMSConverter"	1	"Germany"	1	"Tübingen"
"SiriusAdapter"	1	"Germany"	1	"Tübingen"
"seqan"	1	"Germany"	1	"Berlin"
"samcat"	1	"Germany"	1	"Berlin"
"RNPxlXICFilter"	1	"Germany"	1	"Göttingen"
"RNPxlSearch"	1	"Germany"	2	"Göttingen"
"QCExporter"	1	"Germany"	1	"Neu Isenburg"
"PSMPrescorer"	1	"Germany"	1	"Berlin"
"PreprocessSpectra"	1	"United States"	1	"Philadelphia"
"PeakInvestigatorTOPP"	1	"United States"	1	"Portland"
"PeakInvestigatorSubmitJob"	1	"United States"	3	"Portland"
"PeakInvestigatorFetchResults"	1	"United States"	2	"Portland"
"PeakInvestigator"	1	"United States"	1	"Portland"
"OpenSwathConfidenceScoring"	1	"United States"	2	"Ashburn"
"NucSpectrumGen"	1	"United States"	1	"Philadelphia"
"NucleotideIDAMSDBCreator"	1	"United States"	1	"Philadelphia"
"NucleotideID"	1	"United States"	1	"Philadelphia"
"MzIdentML_READ_TEST"	1	"Germany"	1	"Tübingen"
"MassDeviationScorer"	1	"Germany"	1	"Berlin"
"LowMemPeakPickerHiRes_RandomAccess"	1	"United States"	2	"Ashburn"
"LowMemPeakPickerHiRes"	1	"United States"	2	"Ashburn"
"InclusionExclusionListCreator"	1	"United States"	2	"Ashburn"
"IDExtractor"	1	"Switzerland"	1	"Zurich"
"IDDecoyProbability"	1	"Germany"	1	"Bochum"
"FeatureLinkerUnlabeledLP"	1	"United States"	2	"El Sobrante"
"FeatureFinderCentroide"	1	"Germany"	1	"Berlin"
"FeatureFinderCentroid"	1	"Germany"	1	"Berlin"
"ExternalCalibration"	1	"United States"	4	"Ashburn"
"CsiFingerIdMzTabWriter"	1	"Germany"	1	"Heilbronn"
"ConvertTraMLToPQP"	1	"Switzerland"	1	"Zurich"
"ConvertPQPToTraML"	1	"Switzerland"	1	"Zurich"
