Tool	DevelopedBy
alf	old
bisar	old
casbar	old
four2three	old
dfi	old
compute_gain	old
fiona	denbi
fiona_illumina	denbi
fx_bam_coverage	denbi
fx_fastq_stats	denbi
gustaf	old
gustaf_mate_joining	old
insegt	old
lambda_indexer	denbi
mason_genome	denbi
mason_methylation	denbi
mason_frag_sequencing	denbi
mason_variator	denbi
mason_materializer	denbi
mason_simulator	denbi
mason_splicing	denbi
mason_tests	denbi
micro_razers	old
roi_plot_thumbnails	old
bam2roi	denbi
roi_feature_projection	denbi
pair_align	old
param_chooser	old
test_funcs_param_chooser	old
rabema_prepare_sam	denbi
rabema_build_gold_standard	denbi
rabema_evaluate	denbi
rabema_do_search	denbi
razers	old
razers3	denbi
razers3_compPHSens	denbi
razers3_simulate_reads	denbi
razers3_quality2prob	denbi
rep_sep	old
sak	old
sam2matrix	denbi
samcat	denbi
s4_search	old
s4_join	old
seqan_tcoffee	denbi
seqcons2	denbi
sgip	old
snp_store	old
splazers	old
stellar	old
tree_recon	old
yara_indexer	denbi
yara_mapper	denbi
vaquita	denbi
